City,Year,Sport,Discipline,Event,Athlete,Gender,Country_Code,Country,Event_gender,Medal
Montreal,1976,Aquatics,Diving,3m springboard,Christa Köhler,Women,GDR,East Germany,W,Silver
Montreal,1976,Aquatics,Diving,3m springboard,Aleksandr Kosenkov,Men,URS,Soviet Union,M,Bronze
Montreal,1976,Aquatics,Diving,3m springboard,Philip George Boggs,Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Diving,3m springboard,Giorgio Franco Cagnotto,Men,ITA,Italy,M,Silver
Montreal,1976,Aquatics,Diving,10m platform,Deborah Keplar Wilson,Women,USA,United States,W,Bronze
Montreal,1976,Aquatics,Diving,10m platform,Gregory Louganis,Men,USA,United States,M,Silver
Montreal,1976,Aquatics,Diving,10m platform,Elena Vaytsekhovskaya,Women,URS,Soviet Union,W,Gold
Montreal,1976,Aquatics,Diving,3m springboard,Cynthia Potter-mcingvale,Women,USA,United States,W,Bronze
Montreal,1976,Aquatics,Diving,10m platform,Klaus Dibiasi,Men,ITA,Italy,M,Gold
Montreal,1976,Aquatics,Diving,10m platform,Vladimir Aleinik,Men,URS,Soviet Union,M,Bronze
Montreal,1976,Aquatics,Diving,10m platform,Ulrika Knape-lindbergh,Women,SWE,Sweden,W,Silver
Montreal,1976,Aquatics,Diving,3m springboard,Jennifer Kay Chandler,Women,USA,United States,W,Gold
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,Shirley Farber Babashoff,Women,USA,United States,W,Gold
Montreal,1976,Aquatics,Swimming,400m freestyle,Timothy Andrew Shaw,Men,USA,United States,M,Silver
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,Petra Priemer,Women,GDR,East Germany,W,Silver
Montreal,1976,Aquatics,Swimming,1500m freestyle,Stephen Holland,Men,AUS,Australia,M,Bronze
Montreal,1976,Aquatics,Swimming,400m individual medley,Andrei Smirnov,Men,URS,Soviet Union,M,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,Hannelore Anke,Women,GDR,East Germany,W,Gold
Montreal,1976,Aquatics,Swimming,800m freestyle,Shirley Farber Babashoff,Women,USA,United States,W,Silver
Montreal,1976,Aquatics,Swimming,800m freestyle,Petra Thümer,Women,GDR,East Germany,W,Gold
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,Rebecca Smith,Women,CAN,Canada,W,Bronze
Montreal,1976,Aquatics,Swimming,200m backstroke,Peter Drake Rocca,Men,USA,United States,M,Silver
Montreal,1976,Aquatics,Swimming,400m freestyle,Brian Stuart Goodell,Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,400m individual medley,Alexander Timothy Mckee,Men,USA,United States,M,Silver
Montreal,1976,Aquatics,Swimming,4x100m medley relay,Clayton Evans,Men,CAN,Canada,M,Silver
Montreal,1976,Aquatics,Swimming,200m freestyle,James Paul Montgomery,Men,USA,United States,M,Bronze
Montreal,1976,Aquatics,Swimming,100m butterfly,Matthew Haynes Vogel,Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,100m backstroke,Roland Matthes,Men,GDR,East Germany,M,Bronze
Montreal,1976,Aquatics,Swimming,100m backstroke,John Phillips Naber,Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,100m backstroke,Peter Drake Rocca,Men,USA,United States,M,Silver
Montreal,1976,Aquatics,Swimming,4x100m medley relay,Michael Kraus,Men,FRG,West Germany,M,Bronze
Montreal,1976,Aquatics,Swimming,200m freestyle,Enith Brigitha,Women,NED,Netherlands,W,Bronze
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,David Michael Dunne,Men,GBR,United Kingdom,M,Bronze
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,John Phillips Naber,Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,Claudia Hempel,Women,GDR,East Germany,W,Silver
Montreal,1976,Aquatics,Swimming,4x100m medley relay,Gary Mac Donald,Men,CAN,Canada,M,Silver
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,Andrei Bogdanov,Men,URS,Soviet Union,M,Silver
Montreal,1976,Aquatics,Swimming,100m butterfly,Gary Wayne Hall,Men,USA,United States,M,Bronze
Montreal,1976,Aquatics,Swimming,400m individual medley,Rebecca Smith,Women,CAN,Canada,W,Bronze
Montreal,1976,Aquatics,Swimming,200m breaststroke,Marina Koshevaya,Women,URS,Soviet Union,W,Gold
Montreal,1976,Aquatics,Swimming,200m backstroke,Nancy Ellen Garapick,Women,CAN,Canada,W,Bronze
Montreal,1976,Aquatics,Swimming,800m freestyle,Wendy Elizabeth Weinberg,Women,USA,United States,W,Bronze
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,James Paul Montgomery,Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,Vladimir Raskatov,Men,URS,Soviet Union,M,Silver
Montreal,1976,Aquatics,Swimming,4x100m medley relay,Kornelia Ender,Women,GDR,East Germany,W,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,Anne Elizabeth Jardin,Women,CAN,Canada,W,Bronze
Montreal,1976,Aquatics,Swimming,100m breaststroke,Arvidas Yozaitis,Men,URS,Soviet Union,M,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,Camille Wright,Women,USA,United States,W,Silver
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,Andrei Krylov,Men,URS,Soviet Union,M,Silver
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,Gordon Hunter Downie,Men,GBR,United Kingdom,M,Bronze
Montreal,1976,Aquatics,Swimming,200m breaststroke,David Andrew Wilkie,Men,GBR,United Kingdom,M,Gold
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,Kim Marie Peyton,Women,USA,United States,W,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,James Paul Montgomery,Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,200m butterfly,Ulrike Tauber,Women,GDR,East Germany,W,Silver
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,Barbara Lynny Clark,Women,CAN,Canada,W,Bronze
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,Gail Amundrud,Women,CAN,Canada,W,Bronze
Montreal,1976,Aquatics,Swimming,100m butterfly,Kornelia Ender,Women,GDR,East Germany,W,Gold
Montreal,1976,Aquatics,Swimming,200m butterfly,Michael Lee Bruner,Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,400m individual medley,Cheryl Gibson,Women,CAN,Canada,W,Silver
Montreal,1976,Aquatics,Swimming,200m backstroke,John Phillips Naber,Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,200m freestyle,Kornelia Ender,Women,GDR,East Germany,W,Gold
Montreal,1976,Aquatics,Swimming,100m butterfly,Wendy Lansbach Boglioli,Women,USA,United States,W,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,Graham Smith,Men,CAN,Canada,M,Silver
Montreal,1976,Aquatics,Swimming,4x100m medley relay,Matthew Haynes Vogel,Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,Susan Estelle Smith-sloan,Women,CAN,Canada,W,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,Wendy Cook-hogg,Women,CAN,Canada,W,Bronze
Montreal,1976,Aquatics,Swimming,100m butterfly,Andrea Pollack,Women,GDR,East Germany,W,Silver
Montreal,1976,Aquatics,Swimming,100m butterfly,Joseph Stuart Bottom,Men,USA,United States,M,Silver
Montreal,1976,Aquatics,Swimming,400m freestyle,Petra Thümer,Women,GDR,East Germany,W,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,Ulrike Richter,Women,GDR,East Germany,W,Gold
Montreal,1976,Aquatics,Swimming,200m freestyle,Bruce Macfarlane Furniss,Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,100m breaststroke,Marina Koshevaya,Women,URS,Soviet Union,W,Bronze
Montreal,1976,Aquatics,Swimming,200m butterfly,Steven Garrett Gregg,Men,USA,United States,M,Silver
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,Kornelia Ender,Women,GDR,East Germany,W,Silver
